11.08		0.39
10.22		0.68
10.37		0.94
10.88		0.8
10.78		0.46
10.64		1.11
11.88		1.03
11.41		0.79
12.53		1.94
10.02		2.46
11.23		2.24
11.4		0.72
11.22		1.78
11.69		1.4
11.05		1.03
10.96		2.02
10.86		3.26
10.95		1.91
10.86		0.6
12.08		1.97
10.04		0.45
11.42		0.65
11.15		0.84
11.2		0.78
11.15		0.81
11.87		3.87
11.23		0.88
11.99		3.74
12.47		0.44
11.58		1.03
11.6		3.06
10.83		0.83
10.21		1.52
11.83		0.77
11.9		1.41
12.72		1.14
11.99		1.44
10.75		2.76
11.27		0.23
12.04		1.56
11.06		0.49
11.6		3.99
12.69		0.27
11.94		1.03
10.6		0.73
11.37		3.69
11.57		1.37
11.96		0.94
11.38		1.71
11.99		0.27
12.03		0.76
11.54		0.62
12.6		1.84
11.62		0.66
12.34		0.48
11.59		0.85
11.68		0.5
11.82		1.07
11.7		1.89
11.92		0.67
12.18		0.73
11.08		2.46
11.22		0.49
12.18		0.47
11.42		1.44
12.88		0.17
12.19		1.88
11.96		2.74
11.68		4.71
11.15		0.99
12.03		2.37
12.36		1.78
12.1		0.58
12.67		0.46
11.3		2.73
12.44		1.64
11.98		0.64
12.56		0.67
12.63		0.34
8.30		9.81
11.6		2.27
10.54		1.79
11.07		5.06
10.69		0.64
10.8		1.11
12.87		1.37
12.82		0.96
11.69		2.95
13.08		0.43
12.08		2.37
12.43		0.57
11.62		1.29
11.47		0.41
9.18		5.75
10.65		1.38
10.68		1.3
11.34		1.27
12.68		0.57
10.88		1.08
10.66		1.94
11.38		0.89
11.0		0.84
10.9		1.11
12.42		1.03
9.71		3.43
10.61		2.04
12.35		1.13
12.93		0.42
11.19		0.48
11.21		1.08
10.99		0.6
11.06		2.18
12.22		0.36
11.15		2.01
10.53		2.04
10.59		0.92
10.65		1.17
11.18		0.77
10.74		1.41
10.51		1.06
10.31		0.9
10.85		1.13
10.79		1.72
10.55		0.78
12.24		0.58
11.68		1.93
12.49		1.6
9.49		1.97
10.49		1.68
12.38		1.83
12.92		0.2
11.96		3.39
10.61		1.57
10.72		0.63
9.95		0.52

